"timestamp","game_id","player_id","player_type","player_color","current_turn","action","action_status","displayed_score","wagons_cards_hand_count","destination_cards_hand_count","calculated_current_destination_score"
"343310667333800","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","a976cd1f-ec60-4c49-880e-42c289c7cb9d","EASY_BOT","RED","9","CLAIM_ROUTE","YES","5","4","4","-45"
"343310667385100","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","49bc14b8-ddba-46d3-9bf2-3ad8696f107f","MEDIUM_BOT","GREEN","9","PICK_WAGON_CARD","YES","11","10","4","-44"
"343310667530500","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","602263e7-c5a2-42de-b98f-74da93a79f3e","EASY_BOT","BLUE","10","PICK_WAGON_CARD","YES","8","3","4","-40"
"343310667703100","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","a976cd1f-ec60-4c49-880e-42c289c7cb9d","EASY_BOT","RED","10","PICK_WAGON_CARD","YES","7","6","4","-45"
"343310668031700","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","49bc14b8-ddba-46d3-9bf2-3ad8696f107f","MEDIUM_BOT","GREEN","10","CLAIM_ROUTE","YES","11","7","4","-44"
"343310668221900","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","602263e7-c5a2-42de-b98f-74da93a79f3e","EASY_BOT","BLUE","11","PICK_WAGON_CARD","YES","8","5","4","-40"
"343310668475200","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","a976cd1f-ec60-4c49-880e-42c289c7cb9d","EASY_BOT","RED","11","CLAIM_ROUTE","YES","7","4","4","-45"
"343310668529100","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","49bc14b8-ddba-46d3-9bf2-3ad8696f107f","MEDIUM_BOT","GREEN","11","PICK_WAGON_CARD","YES","15","9","4","-44"
"343310668795700","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","602263e7-c5a2-42de-b98f-74da93a79f3e","EASY_BOT","BLUE","12","CLAIM_ROUTE","YES","8","3","4","-40"
"343310668949700","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","a976cd1f-ec60-4c49-880e-42c289c7cb9d","EASY_BOT","RED","12","PICK_WAGON_CARD","YES","9","6","4","-45"
"343310669008100","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","49bc14b8-ddba-46d3-9bf2-3ad8696f107f","MEDIUM_BOT","GREEN","12","PICK_WAGON_CARD","YES","15","11","4","-44"
"343310669168000","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","602263e7-c5a2-42de-b98f-74da93a79f3e","EASY_BOT","BLUE","13","PICK_WAGON_CARD","YES","10","5","4","-40"
